filename,variant,section,mode,tp,fp,fn,precision,recall,f1
1017655_10K_2020_0001654954-21-003649.json,regex_baseline,item_10,strict,13.0,3.0,49.0,0.8125,0.20967741935483872,0.33333333333333337
1017655_10K_2020_0001654954-21-003649.json,regex_baseline,item_7,strict,5.0,0.0,58.0,1.0,0.07936507936507936,0.14705882352941177
1064722_10K_2020_0001760319-21-000039.json,regex_baseline,item_10,strict,9.0,6.0,48.0,0.6,0.15789473684210525,0.25
1064722_10K_2020_0001760319-21-000039.json,regex_baseline,item_7,strict,5.0,0.0,10.0,1.0,0.3333333333333333,0.5
1066684_10K_2020_0001104659-21-042359.json,regex_baseline,item_10,strict,7.0,4.0,11.0,0.6363636363636364,0.3888888888888889,0.4827586206896552
1066684_10K_2020_0001104659-21-042359.json,regex_baseline,item_7,strict,3.0,0.0,20.0,1.0,0.13043478260869565,0.23076923076923078
1082324_10K_2020_0001140361-21-008678.json,regex_baseline,item_7,strict,4.0,0.0,46.0,1.0,0.08,0.14814814814814814
1327567_10K_2021_0001327567-21-000029.json,regex_baseline,item_7,strict,4.0,42.0,287.0,0.08695652173913043,0.013745704467353952,0.023738872403560828
1353499_10K_2020_0001344676-21-000004.json,regex_baseline,item_10,strict,9.0,2.0,26.0,0.8181818181818182,0.2571428571428571,0.39130434782608686
1353499_10K_2020_0001344676-21-000004.json,regex_baseline,item_7,strict,3.0,0.0,28.0,1.0,0.0967741935483871,0.17647058823529413
1378590_10K_2021_0001437749-21-028984.json,regex_baseline,item_10,strict,17.0,19.0,90.0,0.4722222222222222,0.1588785046728972,0.23776223776223776
1378590_10K_2021_0001437749-21-028984.json,regex_baseline,item_7,strict,27.0,6.0,144.0,0.8181818181818182,0.15789473684210525,0.2647058823529412
1404655_10K_2020_0001564590-21-006083.json,regex_baseline,item_7,strict,20.0,44.0,278.0,0.3125,0.06711409395973154,0.11049723756906077
ALL_DOCS,regex_baseline,overall,strict,126.0,126.0,1095.0,0.5,0.10319410319410319,0.1710794297352342
