variant,mode,section,precision,recall,f1
sm_aug,relaxed,item_10,0.29619916677030217,0.3279607608610512,0.30154605558773684
sm_aug,relaxed,item_7,0.9630707145961384,0.7073972444903718,0.7951578166493485
sm_aug,strict,item_10,0.2465481594329063,0.27399580311949606,0.25097541853222655
sm_aug,strict,item_7,0.7077579623766064,0.5776752127978466,0.6288506651280322
sm_base,relaxed,item_10,0.15093336227499615,0.2589881144424724,0.18123318674037187
sm_base,relaxed,item_7,0.0,0.0,0.0
sm_base,strict,item_10,0.12045802495254784,0.21420390678736836,0.14555988797879782
sm_base,strict,item_7,0.0,0.0,0.0
trf_aug,relaxed,item_10,0.31564099695370895,0.32594463182879313,0.31283916680870777
trf_aug,relaxed,item_7,0.9630707145961384,0.7073972444903718,0.7951578166493485
trf_aug,strict,item_10,0.26810285943094025,0.2765424735338497,0.2652714012464675
trf_aug,strict,item_7,0.7077579623766064,0.5776752127978466,0.6288506651280322
trf_base,relaxed,item_10,0.2185443369179946,0.30878213962702955,0.24700368620395924
trf_base,relaxed,item_7,0.0,0.0,0.0
trf_base,strict,item_10,0.18646230668301927,0.27007785202630735,0.21282432119947747
trf_base,strict,item_7,0.0,0.0,0.0
sm_aug,relaxed,overall,0.6296349406832202,0.5176790026757115,0.5483519361185427
sm_aug,strict,overall,0.4771530609047564,0.42583550795867137,0.4399130418301294
sm_base,relaxed,overall,0.07546668113749808,0.1294940572212362,0.09061659337018593
sm_base,strict,overall,0.06022901247627392,0.10710195339368418,0.07277994398939891
trf_aug,relaxed,overall,0.6393558557749237,0.5166709381595825,0.5539984917290282
trf_aug,strict,overall,0.4879304109037733,0.4271088431658482,0.4470610331872499
trf_base,relaxed,overall,0.1092721684589973,0.15439106981351478,0.12350184310197962
trf_base,strict,overall,0.09323115334150964,0.13503892601315368,0.10641216059973874
